Municipios;Sexo;Periodo;Total
39001 Alfoz de Lloredo;Hombres;2002;1326
39001 Alfoz de Lloredo;Hombres;2001;1320
39001 Alfoz de Lloredo;Hombres;2000;1327
39001 Alfoz de Lloredo;Hombres;1999;1332
39001 Alfoz de Lloredo;Hombres;1998;1332
39001 Alfoz de Lloredo;Hombres;1997;""
39001 Alfoz de Lloredo;Hombres;1996;1348
39001 Alfoz de Lloredo;Mujeres;2023;1195
39001 Alfoz de Lloredo;Mujeres;2022;1182
39001 Alfoz de Lloredo;Mujeres;2021;1174
39001 Alfoz de Lloredo;Mujeres;2020;1156
39001 Alfoz de Lloredo;Mujeres;2019;1167
39001 Alfoz de Lloredo;Mujeres;2018;1175
39001 Alfoz de Lloredo;Mujeres;2017;1192
39001 Alfoz de Lloredo;Mujeres;2016;1206
39001 Alfoz de Lloredo;Mujeres;2015;1216
39001 Alfoz de Lloredo;Mujeres;2014;1222
39001 Alfoz de Lloredo;Mujeres;2013;1238
39001 Alfoz de Lloredo;Mujeres;2012;1237
39001 Alfoz de Lloredo;Mujeres;2011;1221
39001 Alfoz de Lloredo;Mujeres;2010;1233
39001 Alfoz de Lloredo;Mujeres;2009;1238
39001 Alfoz de Lloredo;Mujeres;2008;1226
39001 Alfoz de Lloredo;Mujeres;2007;1241
39001 Alfoz de Lloredo;Mujeres;2006;1258
39001 Alfoz de Lloredo;Mujeres;2005;1273
39001 Alfoz de Lloredo;Mujeres;2004;1269
39001 Alfoz de Lloredo;Mujeres;2003;1261
39001 Alfoz de Lloredo;Mujeres;2002;1267
39001 Alfoz de Lloredo;Mujeres;2001;1270
39001 Alfoz de Lloredo;Mujeres;2000;1287
39001 Alfoz de Lloredo;Mujeres;1999;1276
39001 Alfoz de Lloredo;Mujeres;1998;1276
39001 Alfoz de Lloredo;Mujeres;1997;""
39001 Alfoz de Lloredo;Mujeres;1996;1298
39002 Ampuero;Total;2023;4455
39002 Ampuero;Total;2022;4384
39002 Ampuero;Total;2021;4368
39002 Ampuero;Total;2020;4319
39002 Ampuero;Total;2019;4288
39002 Ampuero;Total;2018;4219
39002 Ampuero;Total;2017;4222
39002 Ampuero;Total;2016;4181
39002 Ampuero;Total;2015;4184
39002 Ampuero;Total;2014;4228
39002 Ampuero;Total;2013;4255
39002 Ampuero;Total;2012;4281
39002 Ampuero;Total;2011;4230
39002 Ampuero;Total;2010;4183
39002 Ampuero;Total;2009;4179
39002 Ampuero;Total;2008;4052
39002 Ampuero;Total;2007;3951
39002 Ampuero;Total;2006;3837
39002 Ampuero;Total;2005;3682
39002 Ampuero;Total;2004;3671
39002 Ampuero;Total;2003;3620
39002 Ampuero;Total;2002;3602
39002 Ampuero;Total;2001;3517
39002 Ampuero;Total;2000;3491
39002 Ampuero;Total;1999;3497
39002 Ampuero;Total;1998;3424
39002 Ampuero;Total;1997;""
39002 Ampuero;Total;1996;3337
39002 Ampuero;Hombres;2023;2230
39002 Ampuero;Hombres;2022;2196
39002 Ampuero;Hombres;2021;2189
39002 Ampuero;Hombres;2020;2166
39002 Ampuero;Hombres;2019;2166
39002 Ampuero;Hombres;2018;2139
39002 Ampuero;Hombres;2017;2156
39002 Ampuero;Hombres;2016;2150
39002 Ampuero;Hombres;2015;2141
39002 Ampuero;Hombres;2014;2165
39002 Ampuero;Hombres;2013;2175
39002 Ampuero;Hombres;2012;2196
39002 Ampuero;Hombres;2011;2166
39002 Ampuero;Hombres;2010;2133
39002 Ampuero;Hombres;2009;2133
39002 Ampuero;Hombres;2008;2063
39002 Ampuero;Hombres;2007;1995
39002 Ampuero;Hombres;2006;1940
39002 Ampuero;Hombres;2005;1857
39002 Ampuero;Hombres;2004;1857
39002 Ampuero;Hombres;2003;1851
39002 Ampuero;Hombres;2002;1834
39002 Ampuero;Hombres;2001;1790
39002 Ampuero;Hombres;2000;1765
39002 Ampuero;Hombres;1999;1768
39002 Ampuero;Hombres;1998;1726
39002 Ampuero;Hombres;1997;""
39002 Ampuero;Hombres;1996;1664
39002 Ampuero;Mujeres;2023;2225
39002 Ampuero;Mujeres;2022;2188
39002 Ampuero;Mujeres;2021;2179
39002 Ampuero;Mujeres;2020;2153
39002 Ampuero;Mujeres;2019;2122
39002 Ampuero;Mujeres;2018;2080
39002 Ampuero;Mujeres;2017;2066
39002 Ampuero;Mujeres;2016;2031
39002 Ampuero;Mujeres;2015;2043
39002 Ampuero;Mujeres;2014;2063
39002 Ampuero;Mujeres;2013;2080
39002 Ampuero;Mujeres;2012;2085
39002 Ampuero;Mujeres;2011;2064
39002 Ampuero;Mujeres;2010;2050
39002 Ampuero;Mujeres;2009;2046
39002 Ampuero;Mujeres;2008;1989
39002 Ampuero;Mujeres;2007;1956
39002 Ampuero;Mujeres;2006;1897
39002 Ampuero;Mujeres;2005;1825
39002 Ampuero;Mujeres;2004;1814
39002 Ampuero;Mujeres;2003;1769
39002 Ampuero;Mujeres;2002;1768
39002 Ampuero;Mujeres;2001;1727
39002 Ampuero;Mujeres;2000;1726
39002 Ampuero;Mujeres;1999;1729
39002 Ampuero;Mujeres;1998;1698
39002 Ampuero;Mujeres;1997;""
39002 Ampuero;Mujeres;1996;1673
39003 Anievas;Total;2023;268
39003 Anievas;Total;2022;267
39003 Anievas;Total;2021;266
39003 Anievas;Total;2020;274
39003 Anievas;Total;2019;267
39003 Anievas;Total;2018;279
39003 Anievas;Total;2017;291
39003 Anievas;Total;2016;314
39003 Anievas;Total;2015;326
39003 Anievas;Total;2014;327
39003 Anievas;Total;2013;333
39003 Anievas;Total;2012;351
39003 Anievas;Total;2011;363
39003 Anievas;Total;2010;363
39003 Anievas;Total;2009;366
39003 Anievas;Total;2008;361
39003 Anievas;Total;2007;360
39003 Anievas;Total;2006;376
39003 Anievas;Total;2005;381
39003 Anievas;Total;2004;394
39003 Anievas;Total;2003;388
39003 Anievas;Total;2002;378
39003 Anievas;Total;2001;375
39003 Anievas;Total;2000;381
39003 Anievas;Total;1999;398
39003 Anievas;Total;1998;394
39003 Anievas;Total;1997;""
39003 Anievas;Total;1996;407
39003 Anievas;Hombres;2023;146
39003 Anievas;Hombres;2022;147
39003 Anievas;Hombres;2021;146
39003 Anievas;Hombres;2020;148
39003 Anievas;Hombres;2019;141
39003 Anievas;Hombres;2018;149
39003 Anievas;Hombres;2017;154
39003 Anievas;Hombres;2016;162
39003 Anievas;Hombres;2015;165
39003 Anievas;Hombres;2014;169
39003 Anievas;Hombres;2013;168
39003 Anievas;Hombres;2012;175
39003 Anievas;Hombres;2011;177
